Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Guadeloupe,61.0,48.0,43.0,44.0,47.0,28.0,39.0,36.0,47.0,48.0,78.0,82.0,84.0,135.0,78.0,64.0,86.0,112.0,119.0,85.0,86.0,53.0,54.0,58.0,66.0,79.0,89.0,70.0,66.0
Guam,36.0,34.0,33.0,38.0,21.0,36.0,30.0,26.0,38.0,34.0,35.0,34.0,34.0,38.0,32.0,64.0,44.0,66.0,49.0,40.0,32.0,42.0,53.0,46.0,72.0,71.0,79.0,76.0,83.0
Guatemala,62.0,59.0,61.0,63.0,51.0,52.0,54.0,66.0,79.0,113.0,83.0,93.0,104.0,139.0,124.0,133.0,190.0,196.0,194.0,259.0,266.0,304.0,284.0,304.0,396.0,446.0,457.0,433.0,472.0
Guinea,16.0,8.0,13.0,11.0,7.0,26.0,21.0,13.0,24.0,17.0,40.0,30.0,33.0,28.0,31.0,35.0,40.0,40.0,61.0,102.0,117.0,131.0,89.0,123.0,146.0,177.0,167.0,172.0,171.0
Guinea-Bissau,11.0,12.0,8.0,17.0,5.0,8.0,14.0,20.0,22.0,23.0,11.0,29.0,19.0,21.0,20.0,29.0,35.0,37.0,57.0,35.0,52.0,57.0,50.0,57.0,60.0,66.0,65.0,57.0,60.0
Guyana,8.0,23.0,9.0,23.0,22.0,19.0,19.0,16.0,23.0,29.0,26.0,30.0,22.0,39.0,38.0,23.0,34.0,28.0,29.0,33.0,36.0,35.0,60.0,91.0,116.0,109.0,128.0,146.0,181.0
Haïti,6.0,8.0,14.0,4.0,14.0,9.0,16.0,15.0,17.0,28.0,36.0,28.0,30.0,34.0,41.0,66.0,54.0,79.0,103.0,108.0,104.0,123.0,98.0,116.0,132.0,148.0,165.0,145.0,144.0
Heard Island and McDonald Islands,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
Honduras,25.0,29.0,31.0,38.0,30.0,18.0,33.0,30.0,38.0,37.0,41.0,37.0,40.0,65.0,66.0,70.0,83.0,81.0,78.0,99.0,89.0,138.0,172.0,217.0,378.0,349.0,395.0,462.0,502.0
Hong Kong,4501.0,5642.0,6260.0,6516.0,7541.0,8302.0,8688.0,10055.0,10976.0,11975.0,12959.0,12730.0,12897.0,14020.0,14289.0,14907.0,15454.0,16497.0,17260.0,17675.0,18721.0,20170.0,21726.0,23000.0,23870.0,27129.0,30466.0,32578.0,37434.0
Hungary,4633.0,5225.0,5714.0,5376.0,5852.0,5791.0,6169.0,6529.0,6854.0,7660.0,7742.0,8201.0,8787.0,8622.0,8586.0,9413.0,9816.0,9726.0,10278.0,10259.0,10499.0,10878.0,11410.0,11935.0,12810.0,13914.0,14422.0,14982.0,16345.0
Iceland,317.0,348.0,396.0,381.0,366.0,399.0,483.0,493.0,532.0,645.0,671.0,737.0,813.0,993.0,1152.0,1130.0,1270.0,1275.0,1330.0,1429.0,1570.0,1560.0,1664.0,1738.0,1732.0,1910.0,2013.0,1959.0,2090.0
India,21122.0,22164.0,22639.0,23869.0,24553.0,25855.0,28186.0,31679.0,34234.0,39178.0,45013.0,49688.0,56787.0,64849.0,76134.0,92580.0,102517.0,109045.0,124097.0,133183.0,144648.0,149474.0,164063.0,185595.0,196605.0,217851.0,247505.0,274329.0,302793.0
Indonesia,601.0,622.0,611.0,643.0,752.0,678.0,744.0,814.0,978.0,1185.0,1372.0,1303.0,1497.0,2042.0,2678.0,3372.0,3925.0,5189.0,6708.0,8273.0,12348.0,22044.0,34278.0,48640.0,52793.0,53384.0,45451.0,59443.0,62345.0
Iran,842.0,1077.0,1220.0,1435.0,1856.0,2208.0,3176.0,4518.0,5932.0,8287.0,11631.0,14970.0,19671.0,24059.0,29318.0,38942.0,40282.0,40873.0,43902.0,44854.0,51508.0,55019.0,57617.0,65538.0,71367.0,74764.0,75144.0,70780.0,72349.0
Iraq,96.0,105.0,84.0,75.0,103.0,104.0,121.0,142.0,123.0,191.0,336.0,323.0,438.0,584.0,796.0,1066.0,1401.0,1718.0,1951.0,2138.0,3127.0,4353.0,9219.0,14407.0,19194.0,17508.0,19904.0,26064.0,27916.0
Ireland,2737.0,2975.0,3173.0,3205.0,3612.0,3749.0,4187.0,4622.0,5575.0,6853.0,7293.0,8025.0,8653.0,9757.0,10698.0,11202.0,11207.0,11532.0,11850.0,11803.0,12690.0,13117.0,13967.0,14904.0,16409.0,18649.0,18167.0,18159.0,19181.0
Israel,10721.0,11188.0,10985.0,11022.0,11956.0,12104.0,12668.0,13467.0,14031.0,14356.0,15216.0,15382.0,15726.0,15934.0,15991.0,16516.0,17291.0,17333.0,18063.0,18865.0,19333.0,19731.0,20644.0,21222.0,22553.0,24482.0,24327.0,23990.0,24529.0
Italy,39253.0,41011.0,40430.0,40988.0,43048.0,44535.0,47284.0,52525.0,55729.0,60669.0,64441.0,68981.0,71967.0,76565.0,78192.0,81618.0,87767.0,93484.0,96784.0,100798.0,102875.0,106670.0,110298.0,117491.0,130621.0,140932.0,138975.0,138705.0,144985.0
